brand,type,price,available,sold,target
264,28,34.99,10.0,36.0,0
67,50,29.95,6.0,19.0,0
335,82,85.56,10.0,953.0,0
68,28,119.0,2.0,7.0,0
171,28,27.26,32.0,4977.0,0
335,28,69.99,2.0,27.0,0
355,28,99.99,10.0,5.0,0
233,40,48.88,9.0,51.0,0
298,28,48.99,8.0,37.0,0
237,28,28.99,7.0,3.0,0
231,28,37.99,10.0,16.0,0
92,40,20.99,4.0,20.0,0
187,25,86.99,4.0,6.0,0
191,39,29.55,408.0,886.0,0
211,28,9.99,10.0,65.0,0
335,28,12.99,10.0,89.0,0
103,28,26.9,10.0,150.0,0
143,28,44.78,2.0,11.0,0
